Order	Species	Scale	Deme	Nuc_Div	U_Haps	N_pairs	N_seqs	Medn_dt	N_dates	Mdn_dst	ag_post	ag_pre	built	tmax	tmin	vpdmax	precip	icide	Lon	Lat
Ephemeroptera	Callibaetis ferrugineus	1	1	0	0.5	1	2	2013	2	0	0.245353811707682	0.410004307883984	0.454858125537403	17.3216667175293	6.18833351135254	11.3575000762939	1183.72998046875	0.457885081953694	-75.8	39.83
Ephemeroptera	Callibaetis ferrugineus	1	2	0	0.5	1	2	2010	1	0	0.108730572419549	0.175783995385017	0.129475794901174	14.6175003051758	2.93833327293396	10.0454168319702	1027.76501464844	0.352759783195632	-76.049	41.606
Ephemeroptera	Callibaetis ferrugineus	1	3	0	0.5	1	2	2010	1	0	0.052929366573266	0.255057252477743	0.108913728862138	14.891666730245	2.77277779579163	10.5422223409017	1091.67997233073	187.173536529362	-73.987	42.222
Ephemeroptera	Callibaetis ferrugineus	1	4	0	0.5	1	2	2010	1	0	0.800399314475166	0.511345555723104	0.039564220183486	17.1433334350586	5.75000023841858	11.7754163742065	972.480010986328	0.156722928392039	-89.395	39.998
Ephemeroptera	Eurylophella bicolor	1	1	0.00709219858156	0.5	6	4	2010	2	0	0.013330972798255	0.067237137966571	0.021233859397418	10.7054166793823	-1.50791668891907	7.92958331108093	1006.89001464844	1.54787206947351	-71.03	44.74
Ephemeroptera	Eurylophella bicolor	1	2	0.052356020942408	0.5	6	4	2010	1	0	0.003425229839824	0.015706992956763	0.025508741759817	9.55874967575073	-2.10958337783814	7.69541668891907	1117.60498046875	0.505206619031828	-69.039	45.901
Ephemeroptera	Eurylophella bicolor	1	3	0.03030303030303	0.5	6	4	2010	2	0	0.108730572419549	0.175783995385017	0.074806534823732	14.4985418319702	2.88604164123535	9.94625020027161	1039.16500854492	0.352759783195632	-76.016	41.612
Ephemeroptera	Eurylophella bicolor	1	4	0.009118541033435	0.5	6	4	2010	1	0	0.101343351955207	0.175466505130714	0.048479632816982	13.4812502861023	1.51791661977768	9.39333343505859	1127.91998291016	0.187931025472075	-75.264	41.867
Ephemeroptera	Eurylophella bicolor	1	5	0.047619047619048	0.5	6	4	2010	2	0	0.191985583557001	0.299037415604084	0.065672497849154	13.928750038147	1.50291669368744	10.0962500572205	1068.22003173828	0.265346670970775	-73.365	43.075
Ephemeroptera	Eurylophella bicolor	1	6	0.001013171225937	0.5	6	4	2010	2	0	0.081842279588043	0.310140787043246	0.03519313304721	24.3708343505859	11.6166667938232	17.529167175293	1335.53002929688	0.350624095570865	-85.869	32.456
Ephemeroptera	Eurylophella bicolor	1	7	0	0.5	1	2	2009.5	2	0	0.096681309870253	0.17592833532887	0	20.0541667938232	6.97916650772095	13.3308334350586	1506.09997558594	0.159979714869586	-83.9202	35.6224
Ephemeroptera	Eurylophella poconoensis	1	1	0.002431610942249	0.333333333333333	15	6	2010	2	0	0.013330972798255	0.067237137966571	0.021233859397418	10.7054166793823	-1.50791668891907	7.92958331108093	1006.89001464844	1.54787206947351	-71.03	44.74
Ephemeroptera	Eurylophella poconoensis	1	2	0.007291666666667	0.5	6	4	2010	1	0	0.351656957075797	0.219613931721251	0.037779049799657	23.0574998855591	10.3079166412354	16.6208333969116	1182.45495605469	0.920804474979759	-79.194	34.62
Ephemeroptera	Eurylophella poconoensis	1	3	0	0.5	6	4	2010	1	0	0.103793425124246	0.170070541238649	0.126397248495271	12.9974994659424	1.34666669368744	8.8841667175293	1155.11999511719	0.165707097279875	-75.333	41.906
Ephemeroptera	Eurylophella temporalis	1	1	0	0.5	1	2	2013	2	0	0.013330972798255	0.067237137966571	0.021233859397418	10.7054166793823	-1.50791668891907	7.92958331108093	1006.89001464844	1.54787206947351	-71.03	44.74
Ephemeroptera	Eurylophella temporalis	1	2	0	0.5	1	2	2010	1	0	0.008091355685174	0.030109876695693	0.077033218785796	9.94416666030884	-1.76541674137116	7.72291684150696	1065.04504394531	0.37925978529139	-69.74	45.658
Ephemeroptera	Eurylophella temporalis	1	3	0	0.5	1	2	2010	1	0	0.535370286895983	0.339546800743498	0.195645946720137	19.0925000508626	7.53916660944621	12.3936112721761	1107.39331054688	0.283165877092482	-75.9882	39.14
Ephemeroptera	Eurylophella temporalis	1	4	0	0.5	1	2	2010	1	0	0.535370286895983	0.339546800743498	0.382984818103695	19.3333339691162	7.86833310127258	12.4337496757507	1105.21002197266	0.283165877092482	-76.0631	39.049
Ephemeroptera	Eurylophella aestiva	1	1	0	0.5	6	4	2010	2	0	0.052929366573266	0.255057252477743	0.15848406546081	14.9564580917358	3.69666665792465	10.3766665458679	1018.02500915527	187.173536529362	-73.81	42.44
Ephemeroptera	Eurylophella aestiva	1	2	0	0.5	1	2	2010	1	0	0.093603773212449	0.192511909310253	0.084240687679083	13.0583333969116	0.629166707396507	9.42750024795532	1196.01501464844	0.258130906356534	-75.017	42.175
Ephemeroptera	Eurylophella aestiva	1	3	0	0.5	1	2	2010	1	0	0.245353811707682	0.410004307883984	0.050157638291774	17.1895837783813	6.03166675567627	11.1737499237061	1189.31500244141	0.457885081953694	-75.784	39.859
Ephemeroptera	Eurylophella aestiva	1	4	0	0.5	1	2	2010	1	0	0.108730572419549	0.175783995385017	0.074806534823732	14.4985418319702	2.88604164123535	9.94625020027161	1039.16500854492	0.352759783195632	-76.016	41.612
Ephemeroptera	Eurylophella aestiva	1	5	0.001692047377327	0.5	6	4	2010	1	0	0.014953065782562	0.051567845714876	0.276059564719359	13.652916431427	1.94208341836929	9.22666645050049	1132.07501220703	0.904752287657877	-75.301	41.365
